station_id,timestamp,pm2_5,pm10,no2,so2,co,o3
IND_DL_001,2026-01-01 00:00:00,261.86,401.7,84.9,27.26,3.99,9.23
IND_DL_001,2026-01-01 01:00:00,261.7,544.09,90.28,26.59,4.16,12.33
IND_DL_001,2026-01-01 02:00:00,260.64,427.52,87.96,29.26,4.18,13.17
IND_DL_001,2026-01-01 03:00:00,248.02,560.23,83.67,26.85,3.73,9.84
IND_DL_001,2026-01-01 04:00:00,246.61,374.68,86.65,29.52,4.13,14.26
IND_DL_001,2026-01-01 05:00:00,249.77,437.17,87.66,30.56,4.0,15.01
IND_DL_001,2026-01-01 06:00:00,218.66,337.37,74.12,27.7,3.82,12.06
IND_DL_001,2026-01-01 07:00:00,180.29,403.09,77.13,26.75,3.72,20.32
IND_DL_001,2026-01-01 08:00:00,396.59,725.91,174.14,27.3,8.32,
IND_DL_001,2026-01-01 09:00:00,379.0,649.68,167.78,31.57,7.86,31.7
IND_DL_001,2026-01-01 10:00:00,328.34,583.65,147.81,25.61,6.63,36.72
IND_DL_001,2026-01-01 11:00:00,205.71,343.64,87.74,30.66,4.14,44.99
IND_DL_001,2026-01-01 12:00:00,181.98,357.92,79.03,25.73,,45.82
IND_DL_001,2026-01-01 13:00:00,189.95,291.41,84.41,25.87,,46.7
IND_DL_001,2026-01-01 14:00:00,211.41,430.81,88.95,30.21,4.1,36.32
IND_DL_001,2026-01-01 15:00:00,209.05,434.2,92.01,32.08,4.45,38.03
IND_DL_001,2026-01-01 16:00:00,185.41,308.39,84.99,27.26,3.99,33.42
IND_DL_001,2026-01-01 17:00:00,178.81,375.09,73.19,23.39,3.72,21.43
IND_DL_001,2026-01-01 18:00:00,436.15,789.83,193.96,29.04,9.1,10.4
IND_DL_001,2026-01-01 19:00:00,465.97,780.18,200.72,32.69,9.56,10.05
IND_DL_001,2026-01-01 20:00:00,437.88,800.0,192.6,34.31,9.12,11.05
IND_DL_001,2026-01-01 21:00:00,436.42,800.0,187.64,29.59,9.23,9.88
IND_DL_001,2026-01-01 22:00:00,279.75,501.32,100.16,33.86,4.48,10.6
IND_DL_001,2026-01-01 23:00:00,249.97,492.45,85.66,29.21,4.25,8.29
IND_DL_001,2026-01-02 00:00:00,232.98,359.0,81.46,24.82,3.62,10.93
IND_DL_001,2026-01-02 01:00:00,239.13,508.78,80.42,26.54,3.98,10.23
IND_DL_001,2026-01-02 02:00:00,,420.6,78.72,27.67,3.7,10.16
IND_DL_001,2026-01-02 03:00:00,252.7,542.68,84.73,25.91,4.0,9.97
IND_DL_001,2026-01-02 04:00:00,249.14,385.16,86.03,29.31,4.14,10.57
IND_DL_001,2026-01-02 05:00:00,249.79,468.31,86.38,26.26,4.1,16.6
IND_DL_001,2026-01-02 06:00:00,247.39,385.77,85.21,27.49,4.28,13.22
IND_DL_001,2026-01-02 07:00:00,182.1,369.35,78.21,25.18,3.48,15.87
IND_DL_001,2026-01-02 08:00:00,321.25,718.93,,25.82,6.87,23.0
IND_DL_001,2026-01-02 09:00:00,370.13,695.64,158.31,24.73,7.68,30.61
IND_DL_001,2026-01-02 10:00:00,395.07,636.15,178.45,32.35,8.38,40.57
IND_DL_001,2026-01-02 11:00:00,204.02,346.06,90.42,24.99,3.93,35.25
IND_DL_001,2026-01-02 12:00:00,196.23,366.08,90.13,30.27,4.41,38.75
IND_DL_001,2026-01-02 13:00:00,221.68,,93.56,32.55,4.46,40.7
IND_DL_001,2026-01-02 14:00:00,219.52,483.98,101.0,30.93,4.52,41.88
IND_DL_001,2026-01-02 15:00:00,224.52,491.64,106.81,34.13,4.57,31.4
IND_DL_001,2026-01-02 16:00:00,227.75,356.95,102.63,35.15,4.96,28.43
IND_DL_001,2026-01-02 17:00:00,223.59,396.33,102.41,36.38,4.48,21.12
IND_DL_001,2026-01-02 18:00:00,485.86,800.0,215.88,33.97,10.14,12.82
IND_DL_001,2026-01-02 19:00:00,456.05,747.75,197.48,28.15,9.16,12.14
IND_DL_001,2026-01-02 20:00:00,470.22,800.0,207.38,34.78,10.01,14.31
IND_DL_001,2026-01-02 21:00:00,458.85,755.33,202.79,31.89,9.71,12.76
IND_DL_001,2026-01-02 22:00:00,290.9,532.31,97.68,34.08,4.6,15.9
IND_DL_001,2026-01-02 23:00:00,278.25,543.3,95.7,32.59,4.25,15.43
IND_DL_001,2026-01-03 00:00:00,258.63,434.26,93.19,,4.12,14.49
IND_DL_001,2026-01-03 01:00:00,274.41,536.81,88.88,27.32,4.03,16.49
IND_DL_001,2026-01-03 02:00:00,262.08,543.55,89.62,29.96,4.22,8.58
IND_DL_001,2026-01-03 03:00:00,249.42,456.89,80.47,25.6,3.66,7.04
IND_DL_001,2026-01-03 04:00:00,246.98,389.28,84.37,24.94,,11.53
IND_DL_001,2026-01-03 05:00:00,237.2,469.73,80.71,,3.83,11.57
IND_DL_001,2026-01-03 06:00:00,249.99,488.87,79.17,25.43,3.84,12.61
IND_DL_001,2026-01-03 07:00:00,161.74,262.4,75.04,26.15,3.51,14.36
IND_DL_001,2026-01-03 08:00:00,380.38,800.0,171.7,24.5,7.75,20.77
IND_DL_001,2026-01-03 09:00:00,,611.27,153.89,28.59,7.11,33.76
IND_DL_001,2026-01-03 10:00:00,379.38,650.27,174.92,28.13,7.83,35.58
IND_DL_001,2026-01-03 11:00:00,213.13,465.48,91.01,31.46,4.5,42.15
IND_DL_001,2026-01-03 12:00:00,201.0,339.48,94.11,27.67,4.33,35.3
IND_DL_001,2026-01-03 13:00:00,186.04,277.59,88.72,26.29,3.99,44.38
IND_DL_001,2026-01-03 14:00:00,211.06,368.38,86.77,32.37,4.13,39.56
IND_DL_001,2026-01-03 15:00:00,208.5,398.18,94.37,30.84,4.42,32.26
IND_DL_001,2026-01-03 16:00:00,200.61,303.77,,29.38,3.93,30.72
IND_DL_001,2026-01-03 17:00:00,236.08,472.12,102.89,35.68,4.75,23.92
IND_DL_001,2026-01-03 18:00:00,421.61,750.34,184.22,27.67,8.52,8.38
IND_DL_001,2026-01-03 19:00:00,407.26,661.32,175.96,28.88,8.3,19.37
IND_DL_001,2026-01-03 20:00:00,482.89,800.0,211.7,32.74,9.81,9.89
IND_DL_001,2026-01-03 21:00:00,449.34,800.0,197.05,29.82,9.09,9.81
IND_DL_001,2026-01-03 22:00:00,292.58,558.49,103.15,33.21,4.88,8.6
IND_DL_001,2026-01-03 23:00:00,250.03,546.75,87.61,29.92,4.18,13.95
IND_DL_001,2026-01-04 00:00:00,270.96,415.49,94.56,27.12,4.34,12.27
IND_DL_001,2026-01-04 01:00:00,259.73,460.91,89.33,28.97,4.05,12.58
IND_DL_001,2026-01-04 02:00:00,260.79,551.64,89.15,,4.32,15.24
IND_DL_001,2026-01-04 03:00:00,189.47,323.59,64.18,19.61,2.79,14.62
IND_DL_001,2026-01-04 04:00:00,246.07,546.58,81.63,26.03,3.95,11.31
IND_DL_001,2026-01-04 05:00:00,244.57,493.03,83.06,28.37,3.87,16.32
IND_DL_001,2026-01-04 06:00:00,251.93,436.54,83.56,27.53,3.95,9.94
IND_DL_001,2026-01-04 07:00:00,189.93,297.41,84.01,25.14,4.18,21.29
IND_DL_001,2026-01-04 08:00:00,388.61,757.66,176.77,28.88,8.11,22.49
IND_DL_001,2026-01-04 09:00:00,380.58,800.0,170.63,25.56,8.08,31.46
IND_DL_001,2026-01-04 10:00:00,395.18,800.0,172.92,26.92,8.38,42.8
IND_DL_001,2026-01-04 11:00:00,189.42,290.05,83.98,24.36,4.05,47.63
IND_DL_001,2026-01-04 12:00:00,212.95,472.63,87.1,28.92,,43.27
IND_DL_001,2026-01-04 13:00:00,206.9,390.09,92.46,28.94,4.39,35.55
IND_DL_001,2026-01-04 14:00:00,217.71,468.25,94.16,31.75,4.34,42.64
IND_DL_001,2026-01-04 15:00:00,230.79,441.15,101.5,33.66,4.88,35.31
IND_DL_001,2026-01-04 16:00:00,,409.6,100.21,33.34,4.82,28.9
IND_DL_001,2026-01-04 17:00:00,221.89,456.24,98.1,36.5,4.68,20.39
IND_DL_001,2026-01-04 18:00:00,401.71,618.63,177.8,29.07,8.18,14.01
IND_DL_001,2026-01-04 19:00:00,458.08,800.0,205.37,32.79,9.4,14.89
IND_DL_001,2026-01-04 20:00:00,429.28,800.0,186.26,26.93,8.81,16.66
IND_DL_001,2026-01-04 21:00:00,450.13,800.0,195.99,36.93,9.37,7.06
IND_DL_001,2026-01-04 22:00:00,278.48,473.66,92.98,31.68,4.4,9.15
IND_DL_001,2026-01-04 23:00:00,285.97,495.96,91.99,30.58,4.55,
IND_DL_001,2026-01-05 00:00:00,256.04,552.46,85.37,28.59,4.17,12.42
IND_DL_001,2026-01-05 01:00:00,241.01,533.24,76.48,24.83,3.67,14.68
IND_DL_001,2026-01-05 02:00:00,240.81,505.03,82.65,28.27,4.12,16.87
IND_DL_001,2026-01-05 03:00:00,252.69,456.13,90.34,26.77,4.1,16.89
IND_DL_001,2026-01-05 04:00:00,253.71,389.67,84.37,29.58,4.21,12.33
IND_DL_001,2026-01-05 05:00:00,,531.65,81.66,27.26,4.03,12.23
IND_DL_001,2026-01-05 06:00:00,244.83,504.9,82.79,24.76,3.98,14.34
IND_DL_001,2026-01-05 07:00:00,184.99,385.86,78.43,23.74,3.53,19.19
IND_DL_001,2026-01-05 08:00:00,380.81,686.57,169.91,27.94,7.84,22.41
IND_DL_001,2026-01-05 09:00:00,378.7,800.0,167.8,28.33,8.11,
IND_DL_001,2026-01-05 10:00:00,404.6,800.0,173.36,27.13,7.98,37.43
IND_DL_001,2026-01-05 11:00:00,202.05,463.5,91.15,28.97,4.18,40.63
IND_DL_001,2026-01-05 12:00:00,192.53,314.53,89.82,31.46,4.17,39.37
IND_DL_001,2026-01-05 13:00:00,87.98,172.0,37.0,13.01,1.59,51.32
IND_DL_001,2026-01-05 14:00:00,216.09,446.19,95.27,33.87,4.49,44.12
IND_DL_001,2026-01-05 15:00:00,234.64,473.26,100.34,33.76,4.63,35.85
IND_DL_001,2026-01-05 16:00:00,213.26,378.28,99.49,30.02,4.36,29.43
IND_DL_001,2026-01-05 17:00:00,232.0,460.64,105.14,36.18,4.77,20.4
IND_DL_001,2026-01-05 18:00:00,447.09,749.72,193.43,27.32,9.56,8.69
IND_DL_001,2026-01-05 19:00:00,418.09,800.0,188.82,29.16,8.85,14.2
IND_DL_001,2026-01-05 20:00:00,457.59,800.0,203.18,35.56,9.55,19.81
IND_DL_001,2026-01-05 21:00:00,436.76,651.06,195.86,28.89,9.29,10.73
IND_DL_001,2026-01-05 22:00:00,,413.44,88.72,31.06,4.27,13.26
IND_DL_001,2026-01-05 23:00:00,280.21,513.68,100.0,29.53,4.64,10.28
IND_DL_001,2026-01-06 00:00:00,274.62,555.84,93.62,30.78,4.38,10.35
IND_DL_001,2026-01-06 01:00:00,270.47,509.82,90.55,28.24,4.2,11.59
IND_DL_001,2026-01-06 02:00:00,241.07,442.22,81.4,29.15,4.17,16.63
IND_DL_001,2026-01-06 03:00:00,253.71,432.31,88.89,27.65,3.98,13.21
IND_DL_001,2026-01-06 04:00:00,248.55,,80.16,27.78,4.03,15.68
IND_DL_001,2026-01-06 05:00:00,251.81,463.5,82.66,27.5,3.98,8.61
IND_DL_001,2026-01-06 06:00:00,218.68,369.91,76.92,21.85,3.55,7.93
IND_DL_001,2026-01-06 07:00:00,179.85,387.3,84.03,31.79,3.77,18.28
IND_DL_001,2026-01-06 08:00:00,399.02,742.04,179.17,32.3,8.35,22.12
IND_DL_001,2026-01-06 09:00:00,406.05,800.0,176.14,28.88,8.44,31.88
IND_DL_001,2026-01-06 10:00:00,375.78,761.09,166.8,29.02,7.93,32.66
IND_DL_001,2026-01-06 11:00:00,197.13,,89.97,29.75,4.22,41.24
IND_DL_001,2026-01-06 12:00:00,167.1,275.55,79.47,21.81,3.45,47.32
IND_DL_001,2026-01-06 13:00:00,168.2,280.05,74.84,23.89,3.79,
IND_DL_001,2026-01-06 14:00:00,196.06,411.23,80.92,,4.3,39.11
IND_DL_001,2026-01-06 15:00:00,218.89,440.43,89.01,33.06,4.39,37.43
IND_DL_001,2026-01-06 16:00:00,232.06,506.63,106.01,31.1,4.88,33.6
IND_DL_001,2026-01-06 17:00:00,240.12,514.57,101.83,36.13,5.0,21.33
IND_DL_001,2026-01-06 18:00:00,472.44,750.13,206.77,32.95,9.86,12.57
IND_DL_001,2026-01-06 19:00:00,474.26,800.0,213.52,,10.01,
IND_DL_001,2026-01-06 20:00:00,468.24,800.0,213.07,36.84,9.88,11.49
IND_DL_001,2026-01-06 21:00:00,478.86,800.0,211.74,38.73,9.6,9.94
IND_DL_001,2026-01-06 22:00:00,280.86,589.66,93.88,27.4,4.37,9.47
IND_DL_001,2026-01-06 23:00:00,231.98,396.36,78.53,21.68,3.72,5.8
IND_DL_001,2026-01-07 00:00:00,270.93,575.83,94.05,35.73,4.41,11.46
IND_DL_001,2026-01-07 01:00:00,254.15,530.46,84.34,25.23,3.8,7.25
IND_DL_001,2026-01-07 02:00:00,246.57,421.55,85.03,26.42,3.87,
IND_DL_001,2026-01-07 03:00:00,253.7,515.23,82.23,30.76,4.01,12.06
IND_DL_001,2026-01-07 04:00:00,235.0,355.36,76.58,25.4,4.25,10.54
IND_DL_001,2026-01-07 05:00:00,241.15,410.37,82.2,24.54,3.94,11.25
IND_DL_001,2026-01-07 06:00:00,222.81,450.0,70.82,27.07,3.43,8.36
IND_DL_001,2026-01-07 07:00:00,193.28,333.76,88.65,31.26,3.85,15.45
IND_DL_001,2026-01-07 08:00:00,168.16,259.94,74.28,11.11,3.47,28.77
IND_DL_001,2026-01-07 09:00:00,411.61,800.0,175.03,25.59,8.53,25.07
IND_DL_001,2026-01-07 10:00:00,392.48,644.6,175.14,26.98,7.97,39.04
IND_DL_001,2026-01-07 11:00:00,205.39,421.81,87.27,26.41,4.17,37.74
IND_DL_001,2026-01-07 12:00:00,171.6,368.12,78.45,24.29,,40.98
IND_DL_001,2026-01-07 13:00:00,204.32,398.31,99.67,29.37,4.49,44.0
IND_DL_001,2026-01-07 14:00:00,188.54,416.29,82.82,20.6,3.91,41.45
IND_DL_001,2026-01-07 15:00:00,208.47,438.58,91.42,29.38,4.35,37.44
IND_DL_001,2026-01-07 16:00:00,236.15,472.85,103.17,31.98,4.83,25.93
IND_DL_001,2026-01-07 17:00:00,222.75,349.1,,33.42,4.78,19.77
IND_DL_001,2026-01-07 18:00:00,,800.0,211.52,29.75,10.09,8.28
IND_DL_001,2026-01-07 19:00:00,461.29,800.0,208.01,33.76,9.71,14.35
IND_DL_001,2026-01-07 20:00:00,,800.0,188.28,29.45,8.88,
IND_DL_001,2026-01-07 21:00:00,475.41,800.0,208.27,35.77,9.88,9.67
IND_DL_001,2026-01-07 22:00:00,285.37,652.69,98.2,30.66,4.22,11.6
IND_DL_001,2026-01-07 23:00:00,286.99,500.11,98.08,31.28,4.52,12.42
IND_DL_001,2026-01-08 00:00:00,259.24,391.21,88.95,32.42,4.3,12.9
IND_DL_001,2026-01-08 01:00:00,252.67,411.52,92.13,30.48,4.32,7.89
IND_DL_001,2026-01-08 02:00:00,252.77,548.82,87.95,26.98,3.79,11.43
IND_DL_001,2026-01-08 03:00:00,253.6,544.11,88.42,31.87,4.11,12.58
IND_DL_001,2026-01-08 04:00:00,110.28,240.46,39.27,13.53,1.41,9.19
IND_DL_001,2026-01-08 05:00:00,245.27,555.6,84.54,28.07,3.79,10.15
IND_DL_001,2026-01-08 06:00:00,239.08,439.71,77.04,28.02,3.89,11.29
IND_DL_001,2026-01-08 07:00:00,165.07,373.16,70.32,24.93,3.84,17.54
IND_DL_001,2026-01-08 08:00:00,357.69,549.24,162.32,26.33,7.58,24.84
IND_DL_001,2026-01-08 09:00:00,389.01,800.0,172.18,27.21,7.95,31.54
IND_DL_001,2026-01-08 10:00:00,417.07,794.19,183.3,28.43,8.63,35.23
IND_DL_001,2026-01-08 11:00:00,184.36,371.31,80.47,25.35,3.95,39.48
IND_DL_001,2026-01-08 12:00:00,,429.14,,26.75,4.51,38.73
IND_DL_001,2026-01-08 13:00:00,187.2,321.97,82.66,28.08,4.17,37.48
IND_DL_001,2026-01-08 14:00:00,220.16,473.22,96.63,24.99,4.66,38.55
IND_DL_001,2026-01-08 15:00:00,199.69,416.09,91.28,31.55,3.93,35.23
IND_DL_001,2026-01-08 16:00:00,228.94,379.1,107.04,35.43,4.83,30.75
IND_DL_001,2026-01-08 17:00:00,224.12,444.37,96.44,29.82,4.4,20.93
IND_DL_001,2026-01-08 18:00:00,395.26,756.88,168.59,28.22,8.42,14.99
IND_DL_001,2026-01-08 19:00:00,446.75,796.8,199.91,33.13,9.41,17.02
