station_id,timestamp,temperature,humidity,wind_speed,wind_direction,pressure,rainfall
IND_DL_001,2026-01-01 00:00:00,13.0,73.1,4.1,124.4,989.4,0.0
IND_DL_001,2026-01-01 01:00:00,8.6,83.4,3.4,133.4,989.4,0.0
IND_DL_001,2026-01-01 02:00:00,10.1,79.1,3.5,158.0,989.6,0.0
IND_DL_001,2026-01-01 03:00:00,10.2,81.5,4.7,125.6,989.3,0.0
IND_DL_001,2026-01-01 04:00:00,11.8,79.0,4.5,139.5,989.3,0.0
IND_DL_001,2026-01-01 05:00:00,13.2,71.1,4.4,216.6,989.6,0.0
IND_DL_001,2026-01-01 06:00:00,15.2,68.0,6.0,278.8,989.4,0.0
IND_DL_001,2026-01-01 07:00:00,15.7,64.3,5.9,167.6,989.0,0.0
IND_DL_001,2026-01-01 08:00:00,17.2,66.1,4.4,275.7,989.1,0.0
IND_DL_001,2026-01-01 09:00:00,19.9,56.0,5.2,228.9,989.2,0.0
IND_DL_001,2026-01-01 10:00:00,21.2,57.1,8.5,258.4,988.8,0.0
IND_DL_001,2026-01-01 11:00:00,22.0,63.2,3.2,229.0,989.0,0.0
IND_DL_001,2026-01-01 12:00:00,22.7,57.8,5.6,210.2,989.5,0.0
IND_DL_001,2026-01-01 13:00:00,25.8,51.2,4.8,244.5,989.4,0.0
IND_DL_001,2026-01-01 14:00:00,23.1,60.7,3.1,198.4,988.8,0.0
IND_DL_001,2026-01-01 15:00:00,25.3,54.2,2.4,240.7,989.8,0.0
IND_DL_001,2026-01-01 16:00:00,24.2,56.4,4.9,221.4,989.6,0.0
IND_DL_001,2026-01-01 17:00:00,22.9,55.9,6.3,250.9,988.8,0.0
IND_DL_001,2026-01-01 18:00:00,21.9,73.7,2.6,318.5,989.6,0.0
IND_DL_001,2026-01-01 19:00:00,17.5,67.9,1.8,232.4,,0.0
IND_DL_001,2026-01-01 20:00:00,20.6,64.4,2.5,260.8,989.4,0.0
IND_DL_001,2026-01-01 21:00:00,16.7,62.3,2.7,201.0,989.6,0.0
IND_DL_001,2026-01-01 22:00:00,15.3,72.8,2.4,267.0,988.9,0.0
IND_DL_001,2026-01-01 23:00:00,13.5,81.0,4.4,222.9,989.4,0.0
IND_DL_001,2026-01-02 00:00:00,14.9,63.8,5.9,202.0,989.2,0.0
IND_DL_001,2026-01-02 01:00:00,12.9,78.8,5.5,224.6,989.5,0.0
IND_DL_001,2026-01-02 02:00:00,12.2,74.1,5.7,265.6,989.1,0.0
IND_DL_001,2026-01-02 03:00:00,14.0,75.7,4.5,141.7,988.8,0.0
IND_DL_001,2026-01-02 04:00:00,13.5,72.2,4.6,226.7,989.8,0.0
IND_DL_001,2026-01-02 05:00:00,12.6,78.9,4.3,215.5,989.8,0.0
IND_DL_001,2026-01-02 06:00:00,14.6,72.5,4.7,186.8,989.4,0.0
IND_DL_001,2026-01-02 07:00:00,15.8,75.8,5.4,251.6,989.3,0.0
IND_DL_001,2026-01-02 08:00:00,17.1,67.9,8.5,116.4,989.4,0.0
IND_DL_001,2026-01-02 09:00:00,19.6,62.6,5.8,130.3,989.8,0.0
IND_DL_001,2026-01-02 10:00:00,20.7,64.1,4.1,151.6,989.5,0.0
IND_DL_001,2026-01-02 11:00:00,22.8,62.8,4.0,211.6,989.6,0.0
IND_DL_001,2026-01-02 12:00:00,23.3,60.6,3.4,203.7,989.8,0.0
IND_DL_001,2026-01-02 13:00:00,24.1,56.5,2.2,250.3,988.9,0.0
IND_DL_001,2026-01-02 14:00:00,,52.8,1.9,238.9,988.3,0.0
IND_DL_001,2026-01-02 15:00:00,23.6,53.3,2.0,164.2,989.8,0.0
IND_DL_001,2026-01-02 16:00:00,21.7,61.2,1.3,234.7,989.2,0.0
IND_DL_001,2026-01-02 17:00:00,21.5,60.7,1.7,324.2,989.5,0.0
IND_DL_001,2026-01-02 18:00:00,20.5,60.6,,210.6,989.0,0.0
IND_DL_001,2026-01-02 19:00:00,18.8,62.9,2.1,261.0,989.5,0.0
IND_DL_001,2026-01-02 20:00:00,18.3,62.4,1.3,203.0,989.3,0.0
IND_DL_001,2026-01-02 21:00:00,15.4,78.3,1.9,292.9,989.2,0.0
IND_DL_001,2026-01-02 22:00:00,15.2,68.8,1.9,252.1,989.1,0.0
IND_DL_001,2026-01-02 23:00:00,,66.3,2.5,272.9,989.9,0.0
