station_id,timestamp,pm2_5,pm10,no2,so2,co,o3
STN_001,2026-01-01 00:00:00,49.3,76.14,28.69,11.11,1.11,9.65
STN_001,2026-01-01 01:00:00,47.62,96.29,23.68,8.11,1.23,17.33
STN_001,2026-01-01 02:00:00,44.02,71.34,28.55,10.13,1.38,15.41
STN_001,2026-01-01 03:00:00,46.24,72.93,29.09,7.18,0.99,12.89
STN_001,2026-01-01 04:00:00,35.76,53.8,26.13,6.85,0.61,15.44
STN_001,2026-01-01 05:00:00,38.17,87.83,18.5,8.03,1.1,21.79
STN_001,2026-01-01 06:00:00,47.24,78.51,22.27,10.99,1.32,18.58
STN_001,2026-01-01 07:00:00,6.41,12.28,11.09,1.33,0.52,21.73
STN_001,2026-01-01 08:00:00,72.28,128.66,51.02,9.94,2.08,26.75
STN_001,2026-01-01 09:00:00,59.04,78.58,44.03,4.82,2.12,43.54
STN_001,2026-01-01 10:00:00,70.47,132.33,50.97,7.11,2.19,44.49
STN_001,2026-01-01 11:00:00,29.08,61.01,19.77,9.51,1.03,50.78
STN_001,2026-01-01 12:00:00,24.66,41.06,21.85,7.88,,54.04
STN_001,2026-01-01 13:00:00,26.61,46.71,25.07,8.57,1.09,55.77
STN_001,2026-01-01 14:00:00,31.5,37.17,25.69,9.21,1.57,45.19
STN_001,2026-01-01 15:00:00,38.04,73.92,37.92,13.94,1.59,45.79
STN_001,2026-01-01 16:00:00,37.21,66.57,28.87,8.79,1.63,35.29
STN_001,2026-01-01 17:00:00,25.9,39.81,23.33,11.76,1.08,21.09
STN_001,2026-01-01 18:00:00,80.07,144.39,64.08,10.12,2.58,15.79
STN_001,2026-01-01 19:00:00,91.19,149.49,65.85,10.77,2.94,14.07
STN_001,2026-01-01 20:00:00,84.45,178.81,63.07,11.36,2.6,12.72
STN_001,2026-01-01 21:00:00,57.68,114.2,46.38,6.07,1.82,15.18
STN_001,2026-01-01 22:00:00,43.06,85.23,25.82,9.7,1.03,20.68
STN_001,2026-01-01 23:00:00,45.3,59.86,19.96,12.28,1.13,16.81
STN_001,2026-01-02 00:00:00,50.38,78.64,23.5,6.47,,13.76
STN_001,2026-01-02 01:00:00,46.15,83.74,27.42,8.83,0.95,11.87
STN_001,2026-01-02 02:00:00,37.33,66.26,24.85,8.75,1.25,12.1
STN_001,2026-01-02 03:00:00,41.14,67.36,28.84,4.96,0.87,15.49
STN_001,2026-01-02 04:00:00,,,19.86,11.04,1.11,18.11
STN_001,2026-01-02 05:00:00,43.2,84.02,24.03,5.13,0.92,16.01
STN_001,2026-01-02 06:00:00,42.14,93.45,30.29,11.55,1.05,17.31
STN_001,2026-01-02 07:00:00,11.37,28.07,12.95,6.02,0.84,22.91
STN_001,2026-01-02 08:00:00,59.34,103.35,46.83,4.36,1.94,31.7
STN_001,2026-01-02 09:00:00,64.53,89.33,48.27,6.72,,35.08
STN_001,2026-01-02 10:00:00,63.52,129.05,52.42,7.07,2.13,47.34
STN_001,2026-01-02 11:00:00,37.58,70.24,34.93,10.8,1.14,47.78
STN_001,2026-01-02 12:00:00,33.75,43.59,27.98,10.93,1.39,53.76
STN_001,2026-01-02 13:00:00,34.42,52.93,29.83,12.83,1.01,53.76
STN_001,2026-01-02 14:00:00,39.29,61.3,,9.63,1.36,49.44
STN_001,2026-01-02 15:00:00,40.58,57.55,25.42,5.63,1.0,
